tweetDate,content,twitterProfile,tweetUrl,timestamp,query,parsed_tweetDate,date_only
Sat Jul 18 13:09:11 +0000 2020,#صرخات_أحلام,https://twitter.com/hazarwlabgad,https://twitter.com/hazarwlabgad/status/1284475304698884096,2025-04-08T12:22:33.977Z,#صرخات_احلام,2020-07-18 13:09:11+00:00,2020-07-18
Thu Jul 30 07:37:42 +0000 2020,"كل اعلاميين القنوات الاردنية بتحججوا بمنع النشر مع انهم وقت #صرخات_احلام كلهم تكلمو بالموضوع بعد اعلان منع النشر ! 

بس الساقط ساقط. 

#مع_المعلم 
#نقابة_الشعب 
#نقابة_الوطن",https://twitter.com/Mosescreates,https://twitter.com/Mosescreates/status/1288740538431266817,2025-04-08T12:22:33.977Z,#صرخات_احلام,2020-07-30 07:37:42+00:00,2020-07-30
Thu Jul 23 07:04:37 +0000 2020,"#حقيقة هيك الطبيعي والغالبية #الأب بحياتناهو الامان هو اول حب بحياة ابنتة الأب حين يطلب منه نجمة فتأكد أنه سيرجع وهو معه السماء ونجومها لابنتة #صرخات_احلام صدمتنا واوجعت قلوبنا كتير وما بدنا تكرر باي شكل
 بس بعض الشعارات يلي شفناها فيها  اساءه ل الآباء الطبيعين وظلم وهالشي مرفوض",https://twitter.com/Dinamisto,https://twitter.com/Dinamisto/status/1286195498530025472,2025-04-08T12:22:33.977Z,#صرخات_احلام,2020-07-23 07:04:37+00:00,2020-07-23
Sat Jul 18 04:14:52 +0000 2020,"#صرخات_احلام كل يوم جريمة مفجعة.
ما عندي الجرأة أفتح الفيديو حرقتوا قلوبنا يلعنكوا الواحد بيفكر حاله بطل ينصدم بس مع كل جريمة نفس الوجع بتفاصيل مختلفة",https://twitter.com/fidaazaanin,https://twitter.com/fidaazaanin/status/1284340839750275074,2025-04-08T12:22:33.977Z,#صرخات_احلام,2020-07-18 04:14:52+00:00,2020-07-18
Thu Mar 18 09:30:13 +0000 2021,#قتل_النساء #صرخات_احلام 🔴 💔 الي متى؟؟؟ 😬 #womanabuse #العنف_الاسري #الأردن,https://twitter.com/MajidaHAshour,https://twitter.com/MajidaHAshour/status/1372480452276150273,2025-04-08T12:22:33.977Z,#صرخات_احلام,2021-03-18 09:30:13+00:00,2021-03-18
Thu Jul 23 08:44:03 +0000 2020,"#حقيقه
 #عالجوهم
حرفيا #بيحزنو البعض مماحمل شعارات فيهااساءةلدور الاب الطبيعي 
لانهم موجودين بمجتمعنا فيدالمساعدةلهم ضروره هؤلاء بدهم احتواءبدنا #اخصائيين يتابعوهم ليعرفو شو وجعهم هل قلة #وعي لانهم حافظين ومو فاهمين او #صرخات_احلام ذكرتهم بوضع غيرصحي مع اباؤهم #صرخات_الاردنيات",https://twitter.com/Dinamisto,https://twitter.com/Dinamisto/status/1286220519923232768,2025-04-08T12:22:33.977Z,#صرخات_احلام,2020-07-23 08:44:03+00:00,2020-07-23
Thu Jul 23 09:45:09 +0000 2020,"#صرخات_أحلام: انتفاضة في #الأردن في وجه #العنف_ضد_المرأة 
https://t.co/9qQezAV7FS",https://twitter.com/BBCArabic,https://twitter.com/BBCArabic/status/1286235898611474432,2025-04-08T12:22:33.977Z,#صرخات_احلام,2020-07-23 09:45:09+00:00,2020-07-23
Mon Mar 08 08:05:29 +0000 2021,#أنا_امرأة_في_الأردن #صرخات_احلام 🔴 💔 #يوم_المراه_العالمي #WomensDay,https://twitter.com/MajidaHAshour,https://twitter.com/MajidaHAshour/status/1368835246289022976,2025-04-08T12:22:33.977Z,#صرخات_احلام,2021-03-08 08:05:29+00:00,2021-03-08
Sat Jun 19 05:29:55 +0000 2021,"اقدر  ان  تلث النساء ""ناجيات"" من العنف ولو انها النسبه اكبر من هيك بس خلينا بالعنف الجسدي #الأردن #صرخات_احلام #رانيا_العبادي #صباح_الخير",https://twitter.com/MajidaHAshour,https://twitter.com/MajidaHAshour/status/1406122047768563717,2025-04-08T12:22:33.977Z,#صرخات_احلام,2021-06-19 05:29:55+00:00,2021-06-19
Fri Jul 24 08:38:23 +0000 2020,"Video of a woman screaming for help while being beaten to death with a brick by her father and brothers in a ""honor killing"" in Jordan has sparked outrage across social media and among Jordanian activists. 

#JusticeforAhlam  #صرخات_احلام 

https://t.co/93td3zV3nP",https://twitter.com/NatashaFatah,https://twitter.com/NatashaFatah/status/1286581480785936386,2025-04-08T12:22:33.977Z,#صرخات_احلام,2020-07-24 08:38:23+00:00,2020-07-24
